交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
土地,龍眼林段691~720地號,1070620,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,760000,371,0,001
土地,龍眼林段691~720地號,1100320,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,900000,440,0,001
土地,新豐段2131~2160地號,1060310,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,10380000,48369,0,002
土地,新豐段2131~2160地號,1100210,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,12073000,56258,0,002
土地,將軍段421~450地號,1060218,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,8750000,21165,0,003
土地,將軍段421~450地號,1100318,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,21000000,50796,0,003
房地(土地+建物),南投縣魚池鄉有水巷31~60號,1030413,土地2建物2車位0,全,一層,透天厝,33,36.42,2,0,2,有,無,460000,12630,0,004
房地(土地+建物),有水巷31~60號,1100313,土地1建物1車位0,全,一層,透天厝,40,18.21,1,0,1,有,無,500000,27457,0,004
房地(土地+建物),南投縣竹山鎮竹圍里大禮路211~240號,1020822,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),15,88.23,3,2,2,有,有,1600000,18134,0,005
房地(土地+建物),大禮路211~240號,1100222,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),22,111.11,3,2,2,有,有,2600000,23400,0,005
土地,包尾段661~690地號,1071225,土地3建物0車位0,,,其他,0,0.0,0,0,0,有,無,6500000,8380,0,006
土地,包尾段661~690地號,1100125,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7600000,5223,0,006
房地(土地+建物),南投縣竹山鎮大公街31~60號,1080922,土地2建物1車位0,全,二層,透天厝,43,24.84,5,2,2,有,無,200000,8052,0,007
房地(土地+建物),大公街31~60號,1100222,土地1建物1車位0,全,二層,透天厝,45,124.2,4,2,2,有,無,1600000,12882,0,007
房地(土地+建物),南投縣埔里鎮中山路三段241~270號,1031012,土地1建物2車位0,三層,十二層,住宅大樓(11層含以上有電梯),20,103.55,3,2,2,有,有,2250000,21729,0,008
房地(土地+建物),中山路三段241~270號,1100312,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),26,103.55,3,2,2,有,有,4800000,46354,0,008
土地,新福興31~60地號,1100215,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,27712951,21100,0,009
土地,新福興31~60地號,1100315,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,29312951,22318,0,009
土地,新福興31~60地號,1100212,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,202429767,19100,0,010
土地,新福興31~60地號,1100312,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,130311470,20580,0,010
土地,東池段751~780地號,1011105,土地5建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7048800,15124,0,011
土地,東池段751~780地號,1040105,土地5建物0車位0,,,其他,0,0.0,0,0,0,有,無,3806000,8166,0,011
