交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物),屏東縣屏東巿頂宅街250巷1~30號,1030925,土地3建物1車位0,全,三層,透天厝,0,244.02,5,2,4,有,無,9900000,40570,0,001
房地(土地+建物),頂宅街250巷1~30號,1100125,土地3建物1車位0,全,三層,透天厝,7,244.58,5,2,4,有,有,12600000,51517,0,001
房地(土地+建物),屏東縣九如鄉東寧路24巷1~30號,1050512,土地5建物1車位0,全,二層,透天厝,3,296.83,5,3,4,有,無,15800000,53229,0,002
房地(土地+建物),東寧路24巷1~30號,1091012,土地5建物1車位0,全,二層,透天厝,8,296.83,7,2,5,有,無,20000000,67379,0,002
房地(土地+建物),東寧路24巷1~30號,1100312,土地5建物1車位0,全,二層,透天厝,8,296.83,7,3,5,有,無,18000000,60641,0,002
土地,上萬安段121~150地號,1100330,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,51378,1700,0,003
土地,上萬安段121~150地號,1100330,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,51378,1700,0,003
土地,上萬安段121~150地號,1100330,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,51379,1700,0,003
土地,上萬安段121~150地號,1100330,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,51378,1700,0,003
土地,上萬安段121~150地號,1100330,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,365226,1700,0,007
土地,上萬安段121~150地號,1100330,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,275521,1700,0,007
