交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
土地,福德段571~600地號,1080718,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,8030000,16660,0,001
土地,福德段571~600地號,1100218,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,9950000,20643,0,001
房地(土地+建物),花蓮縣吉安鄉自強路421~450號,1021222,土地1建物1車位0,全,一層,透天厝,41,49.5,3,2,2,有,無,6700000,135354,0,002
房地(土地+建物),花蓮縣吉安鄉自強路421~450號,1030322,土地1建物1車位0,全,一層,透天厝,41,49.5,0,0,0,有,無,8080000,163232,0,002
房地(土地+建物),自強路421~450號,1100222,土地1建物1車位0,全,一層,透天厝,-1,49.5,1,2,2,有,無,11000000,222222,0,002
房地(土地+建物),花蓮縣花蓮巿國民七街31~60號,1040713,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),21,35.3,1,1,1,有,有,1250000,35411,0,003
房地(土地+建物),國民七街31~60號,1100313,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),26,35.3,1,1,1,有,有,1150000,32578,0,003
土地,南富段901~930地號,1031015,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,1500000,1116,0,004
土地,南富段901~930地號,1091115,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1050000,781,0,004
土地,南富段901~930地號,1100315,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1305000,971,0,004
土地,玉城段1291~1320地號,1090929,土地4建物0車位0,,,其他,-1,0.0,0,0,0,有,無,65000000,14218,0,005
土地,玉城段1291~1320地號,1100129,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3550000,15639,0,005
土地,吉拉米代段1081~1110地號,1070110,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,2060000,96,0,006
