鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
仁愛區,房地(土地+建物),自來街31~60號,21.74,都市：其他:道路用地,,,1100302,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0751013,69.36999999999999,2,1,1,有,無,3000000,43246,,0.0,0,陽台外推；,RPXNMLNJLHGGFBC67DA,61.75,0.0,2.6,無,
中正區,房地(土地+建物)+車位,義一路91~120號,13.99,都市：其他:商業區(商四),,,1100306,土地2建物1車位1,四層,十層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0850918,132.32999999999998,3,2,2,有,有,13250000,99844,升降機械,10.64,1100000,土地價格8510000建物價格3640000車位價格1100000,RPVNMLTJLHGGFBC08DA,83.46,0.0,6.68,有,
中正區,房地(土地+建物)+車位,調和街271~300號,34.17,都市：其他:住宅區(住二),,,1100310,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080212,154.68,3,2,2,有,有,9500000,61417,坡道平面,17.88,0,,RPWNMLKKLHGGFBC37DA,80.34,5.35,7.92,有,001
信義區,房地(土地+建物),東信路61~90號,12.4,都市：其他:住宅區,,,1100225,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0740822,48.93,0,0,0,無,無,6200000,126712,,0.0,0,增建後鐵皮屋夾層；其他增建；,RPXNMLMKLHGGFBC67DA,48.93,0.0,0.0,無,
仁愛區,房地(土地+建物),劉銘傳路45巷1~30號,31.5,都市：其他:住宅區(住三),,,1100309,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0601231,67.31,4,2,2,有,無,3600000,53484,,0.0,0,陽台外推；頂樓加蓋；,RPXNMLSKLHGGFBC28DA,67.31,0.0,0.0,無,
信義區,房地(土地+建物),東明路77巷61~90號,40.12,都市：其他:住宅區,,,1100210,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711030,102.57,3,2,2,有,無,2875000,28030,,0.0,0,,RPPPMLRKLHGGFBC57DA,93.29,0.0,9.28,無,
信義區,房地(土地+建物),東信路61~90號,20.0,都市：其他:住宅區,,,1091201,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701109,66.93,3,1,1,有,無,3000000,44823,,0.0,0,,RPTNMLNLLHGGFBC47DA,66.93,0.0,0.0,無,002
中正區,房地(土地+建物),中船路112巷30弄1~30號,16.8,都市：其他:住宅區,,,1100206,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841111,57.07,0,0,0,無,無,1300000,22779,,0.0,0,,RPXNMLPLLHGGFBC08DA,50.69,0.0,4.42,無,003
信義區,房地(土地+建物),崇法街135巷5弄1~30號,78.61,都市：其他:部分住宅區部分道路,,,1100205,土地14建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831108,92.46000000000001,3,2,2,有,無,2700000,29202,,0.0,0,,RPOOMLNLLHGGFBC07DA,80.46,0.0,9.88,無,
中正區,房地(土地+建物),觀海街181~210號,23.4,都市：其他:住宅區(住二),,,1100224,土地2建物1車位0,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,118.75,3,1,2,有,有,4300000,36211,,0.0,0,,RPOOMLQLLHGGFBC37DA,80.54,0.0,11.82,有,
中正區,房地(土地+建物),新豐街162巷1~30號,52.12,都市：其他:住宅區(住一),,,1100302,土地8建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980209,75.46000000000001,2,2,1,有,有,3820000,50623,,0.0,0,,RPPNMLTLLHGGFBC67DA,50.83,2.05,3.08,有,
中正區,房地(土地+建物),新豐街303巷14弄1~30號,91.47,都市：其他:住宅區(住二),,,1100222,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0780703,132.14,5,2,4,有,無,9350000,70758,,0.0,0,,RPQOMLTLLHGGFBC87DA,96.56,29.55,6.03,無,004
信義區,房地(土地+建物),正信路1~30號,18.79,都市：其他:住宅區,,,1100110,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0691014,58.52,2,2,1,有,無,3260000,55707,,0.0,0,,RPROMLTLLHGGFBC97DA,58.52,0.0,0.0,無,
信義區,房地(土地+建物),深澳坑路1~30號,7.35,都市：其他:住宅區(住四),,,1100319,土地4建物1車位0,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850426,41.54,1,1,1,有,有,1750000,42128,,0.0,0,,RPWNMLKMLHGGFBC57DA,26.8,0.0,4.98,有,005
中山區,房地(土地+建物),復興路230巷26弄1~30號,39.12,都市：其他:道路用地,,,1100222,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690717,93.15,3,2,2,有,無,2500000,26838,,0.0,0,,RPOOMLPLKHGGFCC27DA,93.15,0.0,0.0,無,
安樂區,房地(土地+建物),安樂路二段181~210號,27.79,都市：其他:商業區,,,1100223,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761224,128.52,4,2,3,有,無,7300000,56800,,0.0,0,,RPWNMLOLLHGGFCC97DA,102.24,12.67,6.54,無,
中山區,房地(土地+建物),中華路61~90號,39.69,都市：其他:住宅區(住二),,,1100206,土地6建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730918,118.75,3,2,2,有,無,3430000,28882,,0.0,0,陽台外推；,RPVNMLPLLHGGFCC97DA,92.33,0.0,23.68,無,
信義區,房地(土地+建物)+車位,東光路205巷31~60號,37.2,都市：其他:機關用地,,,1100221,土地6建物1車位1,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841116,133.68,3,2,2,有,有,3700000,27678,坡道平面,0.0,0,,RPOOMLKMLHGGFBC86DA,73.12,0.0,21.69,無,
中正區,房地(土地+建物),豐稔街87巷31~60號,23.0,都市：其他:住宅區(住一),,,1100305,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0631111,62.4,3,2,1,有,無,2100000,33654,,0.0,0,其他增建；,RPPOMLKMLHGGFBC96DA,62.4,0.0,0.0,無,006
信義區,房地(土地+建物),深澳坑路1~30號,36.98,都市：其他:住宅區(住四),,,1100306,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0781018,118.56,5,3,4,有,無,4950000,41751,,0.0,0,陽台外推；,RPPOMLTLLHGGFBC77DA,101.14,0.0,14.06,無,007
仁愛區,房地(土地+建物),成功一路113巷1~30號,22.8,都市：其他:道路用地,,,1100303,土地4建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660823,69.44,3,1,1,有,無,2800000,40323,,0.0,0,,RPUNMLOLLHGGFBC67DA,69.44,0.0,0.0,無,
仁愛區,房地(土地+建物),愛三路61~90號,15.17,都市：其他:商業區(商四),,,1100304,土地10建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,0720530,189.45,0,0,0,無,有,11800000,62286,,0.0,0,急買急賣；,RPXNMLNLLHGGFBC87DA,144.63,0.0,0.0,有,008
信義區,房地(土地+建物)+車位,崇法街89巷1~30號,44.91,都市：其他:住宅區,,,1060812,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090513,184.22,3,2,2,有,有,9000000,54439,坡道平面,35.43,900000,預售屋、或土地及建物分次登記案件；,RPQNMLQJLHGGFBC27DA,87.42,4.19,8.87,有,
信義區,房地(土地+建物),崇法街89巷1~30號,29.94,都市：其他:住宅區,,,1061115,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1090513,96.28,2,2,1,有,有,4860000,50478,,0.0,0,本案為原價轉售案件，轉售日期：108.10.28。預售屋、或土地及建物分次登記案件；,RPSNMLQJLHGGFBC47DA,57.2,1.45,7.13,有,
安樂區,車位,樂利三街181~210號,0.53,都市：其他:道路用地,,,1100320,土地7建物1車位1,地下二層,十七層,其他,防空避難兼停車場,鋼筋混凝土造,0800826,22.59,0,0,0,有,有,550000,,坡道機械,22.59,550000,僅車位交易；,RPROMLQLLHGGFCC77DA,0.0,0.0,0.0,有,009
暖暖區,房地(土地+建物)+車位,暖暖街281巷1~30號,34.91,都市：其他:住宅區(住三),,,1100316,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1021204,185.05,3,1,2,有,有,12000000,64847,坡道平面,34.66,0,,RPPNMLKMLHGGFCC96DA,89.89,2.93,12.87,有,010
暖暖區,房地(土地+建物)+車位,暖碇路38巷61~90號,61.6,都市：其他:道路用地,,,1100207,土地2建物1車位1,二層,九層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0980716,192.89,4,2,2,有,有,8800000,45622,坡道平面,0.0,0,,RPQNMLKMLHGGFCC07DA,0.0,0.0,0.0,有,
七堵區,房地(土地+建物),百七街1~30號,51.0,都市：其他:住宅區,,,1100205,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700518,133.1,3,1,1,有,無,3030000,22765,,0.0,0,,RPQOMLKMLHGGFCC17DA,133.1,0.0,0.0,無,
仁愛區,土地,成功段451~480地號,99.88,都市：其他:住宅區,,,1100207,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,25030,,0.0,0,,RPPNMLKMLHGGFBC96EA,0.0,0.0,0.0,無,011
信義區,房地(土地+建物),正信路1~30號,29.52,都市：其他:住宅區,,,1100313,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730813,96.98,8,0,8,有,無,4000000,41246,,0.0,0,,RPQNMLKMLHGGFBC07EA,82.02,0.0,14.96,無,012
暖暖區,房地(土地+建物)+車位,源遠路391~420號,14.07,都市：其他:住宅區(住三),,,1100223,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1041228,107.38,2,1,1,有,有,5500000,51220,坡道平面,36.4,0,,RPOOMLTLLHGGFCC77DA,40.99,1.63,4.25,有,013
中山區,房地(土地+建物),文化路211~240號,31.8,都市：其他:住宅區(住三),,,1091123,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770120,117.95,3,2,2,有,無,2500000,21195,,0.0,0,,RPPNMLKMLHGGFCC07EA,103.21,0.0,14.74,無,
七堵區,房地(土地+建物),自治街52巷1~30號,24.75,都市：其他:商業區(商三),,,1100225,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0641222,75.87,3,2,1,有,無,4500000,59312,,0.0,0,,RPWNMLKMLHGGFCC67DA,75.87,0.0,0.0,無,
暖暖區,房地(土地+建物),源遠路249巷31~60號,39.0,都市：其他:道路用地,,,1100226,土地2建物1車位0,二層,二層,公寓(5樓含以下無電梯),住家用,加強磚造,0650421,58.25,3,2,1,有,無,3850000,66094,,0.0,0,頂樓加蓋；,RPXNMLKMLHGGFCC77DA,58.25,0.0,0.0,無,
中山區,建物,通仁街61~90號,0.0,,,,1100319,土地0建物1車位0,全,一層,透天厝,住家用,磚造,05007,26.98,5,2,3,有,無,2000000,74129,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；其他增建；未登記建物；,RPPNMLLJMHGGFCC96EA,26.98,0.0,0.0,無,
七堵區,土地,瑪陵坑段西勢面桶寮小段31~60地號,5746.55,,山坡地保育區,農牧用地,1100315,土地33建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13217038,2300,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLMLHGGFCC17EA,0.0,0.0,0.0,無,
信義區,房地(土地+建物),深溪路38巷1~30號,27.99,都市：其他:住宅區(住四),,,1100315,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1061109,94.62,3,1,1,有,有,6700000,70810,,0.0,0,,RPPNMLKMLHGGFBC86DA,55.42,2.7,4.61,有,014
信義區,房地(土地+建物),東信路121~150號,19.1,都市：其他:住宅區,,,1100221,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701214,71.19,3,2,1,有,無,3100000,43545,,0.0,0,陽台外推；,RPUOMLMKLHGGFBC47DA,65.39,0.0,5.8,無,015
中正區,房地(土地+建物),新豐街303巷11弄31~60號,33.22,都市：其他:住宅區(住二),,,1100225,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830429,133.57,3,2,1,有,有,4600000,34439,,0.0,0,,RPPOMLRKLHGGFBC47DA,91.04,0.0,13.85,有,
信義區,房地(土地+建物),深溪路36巷70弄1~30號,27.95,都市：其他:住宅區(住四),,,1100211,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840525,128.85000000000002,4,2,2,有,有,5150000,39969,,0.0,0,,RPVNMLSKLHGGFBC08DA,100.39,0.0,7.54,有,016
中正區,房地(土地+建物),新豐街331~360號,20.37,都市：其他:道路用地,,,1100305,土地2建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,112.4,3,2,2,有,有,4500000,40036,,0.0,0,,RPOOMLPLLHGGFBC27DA,85.22,0.0,10.25,有,
仁愛區,房地(土地+建物),自來街13巷1~30號,31.82,都市：其他:河川區,,,1100309,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0660823,83.49,5,0,5,有,無,3200000,38328,,0.0,0,其他增建；,RPQNMLSLLHGGFBC67DA,83.49,0.0,0.0,無,017
中正區,房地(土地+建物),新豐街271~300號,19.24,都市：其他:住宅區(住二),,,1100303,土地1建物1車位0,三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,97.44,2,2,2,有,有,4380000,44951,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLTLLHGGFBC18DA,68.63,0.99,7.14,有,018
仁愛區,房地(土地+建物),愛六路1~30號,15.83,都市：其他:商業區,,,1100314,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810107,84.0,0,0,0,無,無,6000000,71429,,0.0,0,,RPVNMLTLLHGGFBC28DA,77.68,0.0,6.32,無,
安樂區,房地(土地+建物),中和路168巷15弄1~30號,31.23,都市：其他:住宅區(住三),,,1100226,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840117,123.22,4,2,2,有,有,3500000,28407,,0.0,0,,RPXNMLOLLHGGFCC08DA,89.59,1.1,9.22,無,
七堵區,房地(土地+建物),東新街6巷1~30號,26.43,都市：其他:市場用地,,,1100305,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710213,87.45,3,2,1,有,無,4100000,46884,,0.0,0,,RPOOMLOLLHGGFCC27DA,73.18,0.0,14.28,無,019
安樂區,房地(土地+建物),中和路85巷1~30號,32.89,都市：其他:道路用地,,,1100227,土地7建物1車位0,十五層，十六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,145.28,5,1,2,有,有,4000000,27533,,0.0,0,,RPQOMLPJLHGGFCC37DA,110.68,1.25,8.03,有,
安樂區,土地,代天府段901~930地號,54.27,都市：其他:道路用地,,,1100304,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1180000,21743,,0.0,0,,RPPOMLTJLHGGFCC67DA,0.0,0.0,0.0,無,020
七堵區,房地(土地+建物),明德二路1~30號,36.55,都市：其他:住宅區(住四),,,1100310,土地2建物1車位0,五層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1070914,104.8,3,1,2,有,無,8200000,78244,,0.0,0,,RPXOMLSKLHGGFCC48DA,50.37,0.0,13.9,有,021
中正區,房地(土地+建物)+車位,新豐街162巷61~90號,50.34,都市：其他:住宅區(住一),,,1100131,土地8建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980602,136.6,3,2,2,有,有,6620000,48463,坡道機械,0.0,800000,,RPSNMLLJMHGGFBC07DA,87.4,1.56,6.96,有,
仁愛區,房地(土地+建物),精一路1~30號,13.8,都市：其他:商業區,,,1100311,土地1建物1車位0,一層,六層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0690425,67.53,6,0,1,有,無,9310000,137865,,0.0,0,,RPUNMLQJMHGGFBC77DA,67.53,0.0,0.0,無,
信義區,房地(土地+建物),培德路151~180號,15.0,都市：其他:住宅區,,,1100122,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690418,62.92,2,1,1,有,無,2500000,39733,,0.0,0,,RPROMLQJMHGGFBC57DA,62.92,0.0,0.0,無,
暖暖區,房地(土地+建物),碇內街93巷1~30號,40.44,都市：其他:住宅區(住二),,,1100306,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711204,81.21,3,2,1,有,無,1600000,19702,,0.0,0,未登記建物；,RPSOMLPLLHGGFCC77DA,67.09,0.0,14.12,無,
安樂區,房地(土地+建物)+車位,樂利三街30巷1~30號,38.89,都市：其他:住宅區(住一之一),,,1100228,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820504,171.92000000000002,4,2,2,有,有,7900000,45952,坡道平面,0.0,0,,RPUOMLPLLHGGFCC97DA,129.93,0.0,12.72,有,
七堵區,房地(土地+建物),福一街211~240號,31.3,都市：其他:住宅區,,,1100317,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690925,86.25,3,1,1,有,無,3600000,41739,,0.0,0,,RPXNMLQLLHGGFCC28DA,86.25,0.0,0.0,無,
仁愛區,房地(土地+建物)+車位,龍安街198巷31~60號,25.68,都市：其他:道路用地,,,1100221,土地2建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0931101,164.14000000000001,3,2,2,有,有,11500000,70062,坡道平面,0.0,0,,RPVNMLPLKHGGFBC77DA,91.21,0.0,11.48,有,
信義區,房地(土地+建物)+車位,孝東路121~150號,24.5,都市：其他:住宅區(住三),,,1100131,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1061018,201.67000000000002,3,2,2,有,有,10100000,53708,坡道平面,35.96,1200000,預售屋、或土地及建物分次登記案件；,RPUOMLTLLHGGFBC28DA,108.3,0.0,13.15,有,
信義區,房地(土地+建物)+車位,孝東路91~120號,24.5,都市：其他:住宅區(住三),,,1100228,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1061018,197.39,3,2,2,有,有,10880000,59754,坡道平面,31.21,950000,預售屋、或土地及建物分次登記案件；,RPVOMLTLLHGGFBC38DA,108.3,0.0,13.15,有,
信義區,房地(土地+建物)+車位,孝東路91~120號,26.78,都市：其他:住宅區(住三),,,1100222,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1061018,217.97000000000003,3,2,2,有,有,12000000,59337,坡道平面,35.96,1200000,預售屋、或土地及建物分次登記案件；,RPWOMLTLLHGGFBC48DA,119.51,1.16,12.66,有,
信義區,房地(土地+建物)+車位,孝東路91~120號,26.78,都市：其他:住宅區(住三),,,1100222,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1061018,217.97000000000003,3,2,2,有,有,11200000,54942,坡道平面,35.96,1200000,預售屋、或土地及建物分次登記案件；,RPXOMLTLLHGGFBC58DA,119.51,1.16,12.66,有,
信義區,房地(土地+建物)+車位,孝東路91~120號,26.78,都市：其他:住宅區(住三),,,1100228,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1061018,217.97000000000003,3,2,2,有,有,12850000,64007,坡道平面,35.96,1200000,預售屋、或土地及建物分次登記案件；,RPOPMLTLLHGGFBC77DA,119.51,1.16,12.66,有,
中正區,房地(土地+建物),和一路31~60號,32.25,都市：其他:住宅區(住一),,,1100306,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0670626,45.05,3,1,1,有,無,750000,16648,,0.0,0,夾層；,RPQNMLTLLHGGFBC77DA,45.05,0.0,0.0,無,
中正區,房地(土地+建物),中正路788巷1~30號,28.33,都市：其他:商業區(商一),,,1100319,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680522,64.77,6,0,6,有,無,3500000,54037,,0.0,0,含傢俱設備費；含租約；,RPXNMLQLLHGGFBC18DA,64.77,0.0,0.0,無,
中正區,房地(土地+建物),觀海街151~180號,22.39,都市：其他:住宅區(住二),,,1100317,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,113.67,3,2,2,有,有,4200000,36949,,0.0,0,,RPQOMLSKLHGGFBC67DA,80.75,0.0,11.69,有,
中正區,車位,觀海街121~150號,0.0,,,,1100320,土地0建物1車位1,,,其他,,,,41.38,0,0,0,無,有,600000,,坡道平面,41.37,600000,僅車位交易；,RPPNMLLLLHGGFBC86DA,0.0,0.0,0.0,有,022
七堵區,房地(土地+建物),百三街121~150號,33.51,都市：其他:住宅區,,,1100228,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680221,83.55,3,2,2,有,無,3960000,47397,,0.0,0,,RPQNMLLMLHGGFCC27EA,83.55,0.0,0.0,無,
安樂區,房地(土地+建物)+車位,麥金路331~360號,21.5,都市：其他:住宅區(住一),,,1100302,土地3建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1050124,198.08,4,2,2,有,有,17500000,88348,坡道平面,13.47,0,,RPTNMLTLLHGGFCC18DA,98.87,3.74,27.57,有,023
暖暖區,房地(土地+建物)+車位,源遠路391~420號,19.81,都市：其他:住宅區(住三),,,1100316,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1041228,137.57,2,1,1,有,有,7250000,52700,坡道平面,36.4,0,,RPUNMLTLLHGGFCC28DA,56.15,7.5,3.26,有,024
七堵區,房地(土地+建物)+車位,泰和街1~30號,84.67,都市：其他:住宅區(住三),,,1100315,土地1建物1車位1,全,四層,透天厝,地下一層：停車空間、一至四層：集合住宅,鋼筋混凝土造,1011106,231.96,4,2,3,有,有,10400000,44835,坡道平面,19.94,0,,RPVNMLTLLHGGFCC38DA,192.87,1.82,8.15,無,025
